ID,Type,Name,Address,Grade,District,AGA Division,PS/MC/UC
0,Restaurants,BAVARIAN BARN RESTAURANT,"NO. 11, GALLE FACE COURT 02 COLOMBO",A,Colombo,Colombo,Colombo Divisional Secretariat
1,Restaurants,LORDS RESTAURANT,80B PORUTHOTA ROAD ETTHUKALA NEGOMBO,A,Gampaha,Negombo,Negombo Divisional Secretariat
2,Restaurants,NIHONBASHI RESTAURANT,"NO 11, GALLE FACE TERRACE, COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat
3,Restaurants,FREE WIND RESTAURANT & BAR,"NO 1285, KANDY ROAD, PALAIYOOTHU, TRINCO MALEE",A,Trincomalee,Uppuveli Trinco Malee,Trincomalee Divisional Secretariat
4,Restaurants,EDWIN RESTAURANT,"204, LEWIS PLACE, NEGOMBO",B,Gampaha,Negombo,Negombo Divisional Secretariat
5,Restaurants,DAKSHINA RESTAURANT,"154/A, KANDY RD, DALUGAMA,KELANIYA",B,Gampaha,Peliyagoda,Mahara Kelaniya
6,Restaurants,KUMU KUMA CHINESE RESTAURANT,"278/2, HIGHLEVEL RD, MAHALWARAWA, PANNIPITIYA",A,Colombo,Maharagama,Maharagama Divisional Secretariat
7,Restaurants,HANSAGIRI RESTAURANT,"192 1/1, BODHIRAJA MAWATHA, COLOMBO 11",A,Colombo,Colombo,Colombo Divisional Secretariat
8,Restaurants,JAYALATH INN RESTAURANT,"269, WELIGAMPITIYA JA-ELA",A,Gampaha,Ja-Ela,Ja-Ela Divisional Secretariat
9,Restaurants,GREAT WALL RESTAURANTS,"N0.03, EDWARD LANE COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat
10,Restaurants,EXCEL RESTAURANTS,"338, T.B. JAYAH MAWATHA, COLOMBO 10",A,Colombo,Colombo,Colombo Divisional Secretariat
11,Restaurants,PUBS AND PLACES- KANDY,"N0.30, GEORGE E.DE SILVA MAWATHA, KANDY",A,Kandy,Kandy,Kandy Divisional Secretariat
12,Restaurants,KANDOORI RESTAURANT (BERUWALA),"428, GALLE ROAD, HETTIMULLA BERUWALA",A,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat
